simbolo,bloque_binario,frecuencia,probabilidad,codigo_huffman,longitud_codigo
0,000,29087,0.46542178699436765,11,2
1,001,567,0.009072580645161291,10001,5
2,010,10,0.00016001024065540195,100001,6
3,011,774,0.01238479262672811,1011,4
4,100,594,0.009504608294930876,1001,4
5,101,1,1.6001024065540195e-05,100000,6
6,110,626,0.010016641065028161,1010,4
7,111,30837,0.493423579109063,0,1
