orden,total_simbolos,longitud_original_bits,longitud_codificada_bits,largo_promedio_bloque,largo_promedio_bit,entropia_bloque,entropia_bit,tasa_compresion
2,93744,187488,142171,1.5165877282812765,0.7582938641406383,1.145077783840811,0.5725388919204055,1.3187499560388547
3,62496,187488,99888,1.5983102918586791,0.5327700972862264,1.2890437967426513,0.42968126558088376,1.876982220086497
